message_id,action,message_type,reason,confidence,evidence_message_ids
msg_044,mute,scam,"The message contains a phishing attempt with pressure tactics to obtain sensitive information, which the user has previously reported.",0.91,message_0143;message_0144
msg_032,digest,personal,"The message is a casual request for shared materials, which is useful but not urgent, and the user has a history of engaging with similar requests.",0.8,message_0119;message_0285
msg_106,digest,personal,"The message is relevant but not urgent, and the user has a history of dismissing similar messages.",0.78,message_0376;message_0234
msg_006,digest,event,"The message is a reminder about maintenance, which is useful but not urgent, and the user has previously muted similar messages.",0.8,message_0030;message_0029;message_0044
msg_109,mute,scam,"The message contains a QR code payment request from an admin, but the user has a history of reporting and dismissing similar messages, indicating suspicion.",0.85,message_0151;message_0152;message_0237
msg_108,mute,spam,Unverified business with domain mismatch and high report count.,0.83,message_0094;message_0093;message_0236
msg_019,mute,spam,Unverified business with domain mismatch and high report count.,0.83,message_0094;message_0093;message_0236
msg_088,mute,personal,"The user has a history of dismissing similar messages and has muted the group, indicating low interest in such content.",0.85,message_0050;message_0335;message_0224
msg_056,digest,event,"The user has muted the group and this message is a non-urgent update about a family appointment, which can wait.",0.8,message_0167;message_0168;message_0359
msg_027,digest,promotion,"The message is a promotional offer from a verified business, but the user has dismissed similar messages before, indicating a preference for less urgent engagement.",0.78,message_0272;message_0033;message_0007
msg_050,digest,business_update,"The message is from a non-verified business and the user has opted out of promotions, making it less urgent despite the content being relevant.",0.78,message_0279;message_0155;message_0156
msg_083,digest,event,"The message is a non-urgent request for feedback on a document, which can wait until the user is available.",0.8,message_0219
msg_063,mute,scam,"The message contains a request for payment and sensitive information, which aligns with previous scam reports from the user.",0.92,message_0182;message_0181;message_0365
msg_033,digest,greeting,The message is a casual greeting from a family member that is not urgent and can wait for the user to respond later.,0.75,message_0121;message_0122;message_0280
msg_061,mute,greeting,"The message is a forwarded greeting with a chain message request, which the user has previously muted and dismissed.",0.9,message_0194;message_0178;message_0177
msg_020,mute,scam,The message contains a suspicious URL that may be a phishing attempt.,0.85,message_0096;message_0095;message_0334
msg_017,mute,spam,The message is a repeated payment request from a marketplace group that the user has muted and dismissed similar messages from in the past.,0.9,message_0090;message_0089;message_0317
msg_058,mute,forward,"The message is a forwarded health tip with a high forwarded count, and the user has previously muted similar content.",0.9,message_0241;message_0039;message_0040
msg_026,mute,scam,The message contains a suspicious URL that may be a phishing attempt.,0.9,message_0032;message_0107;message_0108
msg_047,digest,event,"The message is an informative update about maintenance that is useful but not urgent, and the user has previously reported or muted similar messages.",0.78,message_0151;message_0149;message_0150
msg_046,mute,scam,"The message uses pressure tactics to extract sensitive information like OTP, password, or payment details.",0.92,message_0148;message_0147;message_0024
msg_042,notify,urgent,"This is a critical security alert from a trusted admin regarding the main gate closure, requiring immediate action from the user.",0.92,message_0140;message_0139;message_0058
msg_079,mute,scam,"The message is a clear scam attempt, requesting sensitive information under the guise of account security, which the user has previously reported.",0.9,message_0023;message_0174;message_0173
msg_098,notify,urgent,"The message is a direct request for a call regarding a time-sensitive medical appointment decision, which requires immediate attention.",0.92,message_0359;message_0226
msg_037,digest,event,"The message is an update from a trusted admin about water supply, but the user has previously muted similar messages, indicating a preference for less urgent notifications.",0.78,message_0030;message_0001;message_0029
msg_007,digest,event,The message provides useful information about a potluck registration but is not urgent and can wait for the user to check later.,0.8,message_0070;message_0069
msg_085,mute,scam,"The message uses pressure tactics to extract sensitive information like OTP, password, or payment details.",0.92,message_0221
msg_001,notify,urgent,"This is a time-sensitive update from a trusted group admin regarding water supply, which requires immediate action from the user.",0.91,message_0057;message_0240;message_0058
msg_021,digest,event,"The message is a reminder about a payment due today, but the user has previously muted similar messages, indicating a preference for less urgent notifications.",0.78,message_0030;message_0029;message_0044
msg_028,mute,promotion,The user has opted out of promotions from this business and has a history of dismissing similar messages.,0.91,message_0034;message_0112;message_0111
msg_012,mute,forward,"The message is a forwarded health tip with a high forwarded count, which the user has previously muted and dismissed similar content.",0.9,message_0079;message_0247;message_0080
msg_064,mute,promotion,The message is promotional in nature and resembles previous spam messages that the user has reported and dismissed.,0.85,message_0201;message_0087;message_0183
msg_103,notify,personal,"This is a direct message from a known contact regarding a time-sensitive pickup request, and the user has engaged positively with similar messages in the past.",0.92,message_0382;message_0065;message_0231
msg_031,notify,event,"This is an important reminder from an admin about a scheduled meeting that requires preparation, which is relevant for the user.",0.92,message_0118;message_0249;message_0117
msg_057,notify,urgent,"The message is a direct mention from an admin regarding a failing build, requiring immediate attention from the user.",0.92,message_0003;message_0059;message_0169
msg_087,mute,spam,"The message is a promotional voice message for real estate that the user has previously reported and dismissed, indicating low value.",0.9,message_0204;message_0203
msg_067,digest,event,"The message is a reminder about a maintenance payment deadline, which is important but not urgent for the user.",0.78,message_0030;message_0098;message_0068
msg_039,notify,urgent,"An admin from the school group is requesting a time-sensitive action regarding a fee receipt, which is critical for the child's participation in the field trip.",0.92,message_0051;message_0255;message_0403
msg_082,notify,urgent,"An admin is alerting the group about a critical issue affecting payments, which requires immediate attention.",0.92,message_0218;message_0397
msg_066,mute,promotion,The user has opted out of promotions from this business and has a history of dismissing similar messages.,0.91,message_0188;message_0187;message_0257
msg_049,notify,business_update,"This is a legitimate and timely update from a verified business regarding a return pickup, which the user has engaged with positively in the past.",0.92,message_0154;message_0291;message_0153
msg_015,mute,scam,"The message uses pressure tactics to extract sensitive information like OTP, password, or payment details.",0.9,message_0199;message_0085;message_0200
msg_051,mute,promotion,The user has opted out of promotions from this business and has a history of dismissing similar messages.,0.91,message_0257;message_0103;message_0157
msg_097,digest,personal,"The message is casual and non-urgent, indicating that the user can wait to respond until tomorrow.",0.85,message_0359;message_0226
msg_089,digest,personal,"While the message is important regarding the user's belongings, the user has not interacted with this sender before and may prefer to address it later.",0.75,message_0301
msg_053,digest,event,The message contains useful market information but is not urgent and can wait for the user to read later.,0.82,message_0253;message_0411;message_0161
msg_059,mute,scam,"The message is a suspicious request for sensitive information, typical of scams, and the user has previously muted similar content.",0.9,message_0174;message_0173;message_0023
msg_024,mute,promotion,The user has opted out of promotions from this business and has a history of dismissing similar messages.,0.91,message_0257;message_0103;message_0157
msg_072,mute,scam,"The message is a phishing attempt, requesting sensitive information through a suspicious link, which is consistent with previously reported scams.",0.92,message_0199;message_0085;message_0200
msg_036,mute,spam,Unverified business with domain mismatch and high report count.,0.83,message_0283;message_0127;message_0128
msg_076,mute,spam,Unverified business with domain mismatch and high report count.,0.83,message_0208;message_0207;message_0159
msg_055,notify,urgent,"The message is from a family member requesting urgent assistance within a tight timeframe, which warrants immediate attention.",0.91,message_0166;message_0165;message_0387
msg_102,notify,urgent,The message is from a trusted contact regarding a critical work-related task that requires immediate attention.,0.92,message_0371;message_0230;message_0060
msg_080,digest,event,"While the message is important, the user has previously muted similar notifications and has a history of dismissing them, indicating they prefer to receive this information in a less urgent manner.",0.78,message_0030;message_0216;message_0130
msg_093,mute,business_update,"The user has opted out of promotions and has dismissed similar messages from this business, indicating they do not want to be notified about such updates.",0.85,message_0347;message_0348;message_0387
msg_034,mute,greeting,"The message is a casual greeting with no urgent content, and the user has previously muted similar messages from this sender.",0.85,message_0241;message_0039;message_0040
msg_035,digest,promotion,"The message is a promotional content from a verified business, but the user has dismissed similar messages in the past, indicating a preference for less immediate engagement.",0.78,message_0281;message_0283;message_0127
msg_101,digest,personal,"The message is casual and non-urgent, and the user has a history of dismissing similar messages from this sender.",0.78,message_0370;message_0229;message_0268
msg_041,mute,promotion,"The message is a promotional survey from a verified business, but the user has opted out of promotions and has reported similar messages in the past.",0.85,message_0028;message_0361
msg_011,mute,greeting,"The message is a forwarded greeting that the user has previously muted and dismissed, indicating low value.",0.85,message_0241;message_0039;message_0078
msg_110,mute,scam,"The message is a phishing attempt requesting sensitive information under the guise of a security alert, which the user has previously reported.",0.92,message_0238;message_0381;message_0322
msg_095,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.92,message_0201;message_0087;message_0183
msg_074,mute,promotion,"The message is a promotional offer for land plots, and the user has a history of dismissing and reporting similar content.",0.91,message_0203;message_0204;message_0358
msg_073,mute,scam,"The message is a phishing attempt, pressuring the user to verify sensitive information through a suspicious link, similar to previously reported messages.",0.92,message_0202;message_0184;message_0201
msg_054,mute,scam,"The message is a suspicious loan offer with a payment link, which aligns with the user's history of reporting similar scams.",0.92,message_0164;message_0163;message_0204
msg_068,digest,event,"The message is about a non-urgent discussion regarding plans after a match, which can wait for later review.",0.82,message_0191;message_0192
msg_100,notify,urgent,This is an urgent work request from a known contact requiring immediate attention due to a client escalation.,0.92,message_0362;message_0228;message_0055
msg_062,digest,event,"The message contains important information about a fire alarm test and a missing person alert, but it is not urgent enough to interrupt the user immediately.",0.82,message_0043
msg_096,digest,personal,"The message is from a new sender regarding a found passport, which is important but not urgent enough to interrupt the user immediately.",0.75,message_0353;message_0354
msg_043,digest,forward,"The message is a forwarded alert with a high forward count, indicating it may be a chain message. The user has previously dismissed similar messages.",0.78,message_0271;message_0030
msg_077,notify,event,This is an important school circular regarding a field trip that requires immediate attention and action from the user.,0.92,message_0051;message_0403;message_0037
msg_081,notify,event,"This is an important update from a trusted group admin regarding a change in pickup location for school transport, which requires the user's attention.",0.85,message_0217
msg_025,notify,business_update,"This is a legitimate order update from Amazon, and the user has previously engaged positively with similar messages.",0.92,message_0239;message_0004;message_0105
msg_084,mute,promotion,"The message is a promotional offer from HDFC Bank, which the user has opted out of receiving, and they have a history of dismissing similar messages.",0.9,message_0220;message_0391;message_0357
msg_022,mute,scam,The message requests payment confirmation via a link and has a history of similar messages being dismissed or reported by the user.,0.85,message_0099;message_0100;message_0151
